country,gender,paid_work,unpaid_work,personal_care,leisure,other
Australia,men,304.1,171.6,649.3,297.0,18.1
Australia,women,172.0,311.0,666.0,269.0,22.0
Austria,men,311.9,138.5,657.4,322.0,10.3
Austria,women,219.1,237.8,678.0,291.7,13.4
Belgium,men,273.7,144.2,648.5,365.2,8.5
Belgium,women,199.2,237.3,677.4,316.7,9.0
Canada,men,340.5,148.1,621.8,297.8,31.8
Canada,women,268.3,223.7,652.8,259.7,35.6
Denmark,men,260.1,186.1,643.0,339.5,11.2
Denmark,women,194.6,242.8,673.4,319.6,9.6
Estonia,men,264.1,160.2,663.6,345.3,6.5
Estonia,women,244.9,249.2,663.3,277.8,4.5
Finland,men,248.6,157.5,630.1,358.7,45.1
Finland,women,209.9,235.8,650.7,303.6,40.0
France,men,235.1,134.9,743.0,319.1,7.8
France,women,175.4,224.0,760.9,269.7,10.0
Germany,men,289.5,150.4,637.6,346.3,16.2
Germany,women,205.5,242.3,658.7,315.8,17.8
Greece,men,274.3,95.1,689.5,375.4,5.8
Greece,women,184.5,259.5,679.2,310.6,6.5
Hungary,men,272.7,162.3,686.3,308.2,10.6
Hungary,women,202.5,293.8,679.3,256.8,7.6
Ireland,men,340.8,127.0,594.7,337.6,39.9
Ireland,women,194.9,292.5,623.1,287.0,42.4
Italy,men,220.8,130.7,710.3,366.1,12.1
Italy,women,133.1,306.3,705.3,280.9,14.3
Japan,men,442.0,47.0,632.0,284.0,34.0
Japan,women,292.0,208.0,647.0,254.0,40.0
Korea,men,419.0,49.0,675.8,272.4,23.7
Korea,women,269.4,215.0,679.9,244.0,31.8
Latvia,men,376.9,129.7,639.6,290.5,3.3
Latvia,women,288.5,253.3,643.7,249.2,5.3
Lithuania*,men,354.3,151.6,644.3,282.2,7.6
Lithuania*,women,279.3,292.0,644.8,215.3,8.7
Luxembourg,men,330.0,121.1,676.9,299.0,13.0
Luxembourg,women,238.9,239.6,694.0,253.0,14.5
Mexico,men,478.3,131.4,624.2,186.6,19.4
Mexico,women,236.3,331.3,641.8,159.1,23.2
Netherlands,men,284.9,145.4,666.2,329.6,13.8
Netherlands,women,201.4,224.9,696.7,300.2,16.7
New Zealand,men,338.0,141.0,639.0,306.0,16.0
New Zealand,women,205.0,264.0,656.0,295.0,19.0
Norway,men,277.4,168.5,614.5,370.3,9.2
Norway,women,200.0,227.4,641.8,365.8,4.9
Poland,men,314.8,158.8,645.3,311.0,10.2
Poland,women,203.2,295.0,666.8,262.4,12.6
Portugal,men,372.3,96.3,677.2,289.1,5.0
Portugal,women,231.3,328.2,673.7,199.8,7.0
Slovenia,men,299.8,166.5,631.8,336.9,5.0
Slovenia,women,234.2,286.2,630.4,283.2,6.0
Spain,men,236.2,145.9,696.9,347.2,13.7
Spain,women,166.8,289.1,686.6,284.0,13.2
Sweden,men,313.0,171.0,611.0,338.0,7.0
Sweden,women,275.2,220.2,633.4,306.2,5.0
Türkiye,men,358.3,67.6,679.1,301.0,34.1
Türkiye,women,133.9,305.0,684.5,270.4,46.1
United Kingdom,men,308.6,140.1,634.9,326.5,29.9
United Kingdom,women,216.2,248.6,655.4,284.7,35.1
United States,men,320.3,145.4,647.8,303.2,23.3
United States,women,248.0,227.9,677.7,256.9,29.5
